"year","ai_atka","sst_mean","sst_sd","indicator_name"
1985,"attu",4.09244246319718,0.963990863172163,"Atka_amj_sst"
1985,"seguam",4.37524247491639,0.723193666933,"Atka_amj_sst"
1985,"tanaga",4.30382630272953,0.688644205609938,"Atka_amj_sst"
1986,"attu",4.62178882438316,0.953122105694226,"Atka_amj_sst"
1986,"seguam",4.9549928332537,0.590527797507009,"Atka_amj_sst"
1986,"tanaga",4.89543991492379,0.514526095177161,"Atka_amj_sst"
1987,"attu",4.24898196143479,0.969986733366056,"Atka_amj_sst"
1987,"seguam",5.22637720974677,0.570046453473209,"Atka_amj_sst"
1987,"tanaga",5.05376036866359,0.625133391893818,"Atka_amj_sst"
1988,"attu",3.32045822102426,0.81109455946458,"Atka_amj_sst"
1988,"seguam",4.57465121834687,1.03296748407018,"Atka_amj_sst"
1988,"tanaga",4.49509535625665,0.754193461722263,"Atka_amj_sst"
1989,"attu",4.2599523118391,0.944139500502466,"Atka_amj_sst"
1989,"seguam",4.4715635451505,0.860358641023108,"Atka_amj_sst"
1989,"tanaga",4.49946331088267,0.822475297643775,"Atka_amj_sst"
1990,"attu",4.36559869375907,1.01878705002253,"Atka_amj_sst"
1990,"seguam",4.37712732919255,1.01232119196797,"Atka_amj_sst"
1990,"tanaga",4.36477702942219,1.00600809729093,"Atka_amj_sst"
1991,"attu",4.47513580758864,1.02680530027804,"Atka_amj_sst"
1991,"seguam",4.29456999522217,0.650142642792272,"Atka_amj_sst"
1991,"tanaga",4.53564976958525,0.652514458381057,"Atka_amj_sst"
1992,"attu",4.05571739581174,1.1216780412778,"Atka_amj_sst"
1992,"seguam",4.74272694696608,0.909540011406794,"Atka_amj_sst"
1992,"tanaga",4.50493583835519,0.623960904058851,"Atka_amj_sst"
1993,"attu",3.86833506116525,0.818929110097652,"Atka_amj_sst"
1993,"seguam",5.09793597706641,0.961014496862804,"Atka_amj_sst"
1993,"tanaga",4.82812690535271,0.728090471051293,"Atka_amj_sst"
1994,"attu",4.56573398299813,0.907672332753565,"Atka_amj_sst"
1994,"seguam",4.67636645962733,0.785545749730458,"Atka_amj_sst"
1994,"tanaga",4.58249415101028,0.551029231884092,"Atka_amj_sst"
1995,"attu",3.95580966203608,0.981821956102527,"Atka_amj_sst"
1995,"seguam",4.39497252747253,0.964314131059876,"Atka_amj_sst"
1995,"tanaga",4.30839844026941,0.721266410869453,"Atka_amj_sst"
1996,"attu",4.84951637984657,1.18923020349182,"Atka_amj_sst"
1996,"seguam",5.06210344003822,1.01720353387019,"Atka_amj_sst"
1996,"tanaga",5.07731088266572,0.858841553040394,"Atka_amj_sst"
1997,"attu",4.44594132282812,1.00577478324001,"Atka_amj_sst"
1997,"seguam",4.64634615384615,0.951522136830274,"Atka_amj_sst"
1997,"tanaga",4.66860758596242,0.79592880942164,"Atka_amj_sst"
1998,"attu",3.52245179348953,1.05231043227493,"Atka_amj_sst"
1998,"seguam",4.19930482560917,0.860539911731489,"Atka_amj_sst"
1998,"tanaga",4.29302304147465,0.76340945398588,"Atka_amj_sst"
1999,"attu",3.40911310387725,1.14418516297432,"Atka_amj_sst"
1999,"seguam",3.83230769230769,0.836203657376763,"Atka_amj_sst"
1999,"tanaga",3.84672172988302,0.622463167682416,"Atka_amj_sst"
2000,"attu",3.36666079203815,1.15333909487339,"Atka_amj_sst"
2000,"seguam",4.28462255136168,0.81115479838812,"Atka_amj_sst"
2000,"tanaga",4.01059907834101,0.77813211878476,"Atka_amj_sst"
2001,"attu",3.22126580966204,1.00923049752514,"Atka_amj_sst"
2001,"seguam",4.52217988533206,0.843215775466908,"Atka_amj_sst"
2001,"tanaga",4.42045586671393,0.64067276930775,"Atka_amj_sst"
2002,"attu",3.80930281982169,1.32514675398463,"Atka_amj_sst"
2002,"seguam",4.66260869565217,0.99863105595315,"Atka_amj_sst"
2002,"tanaga",4.34767600141794,0.809275462322366,"Atka_amj_sst"
2003,"attu",4.32507360563964,1.11350165058037,"Atka_amj_sst"
2003,"seguam",4.87862279025322,0.58983639002841,"Atka_amj_sst"
2003,"tanaga",4.95316696207019,0.560416813205891,"Atka_amj_sst"
2004,"attu",4.39691478332988,0.976773199338317,"Atka_amj_sst"
2004,"seguam",4.69498447204969,0.949234971530677,"Atka_amj_sst"
2004,"tanaga",4.41333924140376,0.602112602472096,"Atka_amj_sst"
2005,"attu",4.42900736056396,1.16902592385503,"Atka_amj_sst"
2005,"seguam",4.94798853320592,0.851092864649598,"Atka_amj_sst"
2005,"tanaga",4.9983913505849,0.708621597821096,"Atka_amj_sst"
2006,"attu",3.92197750362845,1.22482843676551,"Atka_amj_sst"
2006,"seguam",4.52253941710463,0.995035521438879,"Atka_amj_sst"
2006,"tanaga",4.3675278270117,0.937377244575391,"Atka_amj_sst"
2007,"attu",4.29203504043127,1.12176279830581,"Atka_amj_sst"
2007,"seguam",4.03756091734353,0.794157993349363,"Atka_amj_sst"
2007,"tanaga",4.26976958525346,0.79966517344234,"Atka_amj_sst"
2008,"attu",4.09685206303131,1.32277270172686,"Atka_amj_sst"
2008,"seguam",4.23481008122312,0.977937167498678,"Atka_amj_sst"
2008,"tanaga",4.37499468273662,0.863280179116057,"Atka_amj_sst"
2009,"attu",3.95753835786855,1.32261481839425,"Atka_amj_sst"
2009,"seguam",4.5438867654085,1.17011174721649,"Atka_amj_sst"
2009,"tanaga",4.3838816022687,0.969974496271511,"Atka_amj_sst"
2010,"attu",3.78331173543438,1.23196374528721,"Atka_amj_sst"
2010,"seguam",4.43669971333015,0.656227504346014,"Atka_amj_sst"
2010,"tanaga",4.49005529953917,0.681862572757314,"Atka_amj_sst"
2011,"attu",4.08190908148455,1.04074272246589,"Atka_amj_sst"
2011,"seguam",4.3552580028667,0.792717671820829,"Atka_amj_sst"
2011,"tanaga",4.51100957107409,0.621713436150002,"Atka_amj_sst"
2012,"attu",3.74462782500518,0.994789140484242,"Atka_amj_sst"
2012,"seguam",3.70137243191591,0.914559083328405,"Atka_amj_sst"
2012,"tanaga",3.82010847217299,0.720294976741749,"Atka_amj_sst"
2013,"attu",4.33371190130624,1.46529536015657,"Atka_amj_sst"
2013,"seguam",4.26773530817009,0.891688728005999,"Atka_amj_sst"
2013,"tanaga",4.40353633463311,0.937898223520074,"Atka_amj_sst"
2014,"attu",4.35629017209206,1.35055807408749,"Atka_amj_sst"
2014,"seguam",4.75099378881988,0.950554499421494,"Atka_amj_sst"
2014,"tanaga",4.71683729174052,0.81372470905458,"Atka_amj_sst"
2015,"attu",4.27683962264151,1.01674610434588,"Atka_amj_sst"
2015,"seguam",4.9178021978022,0.854476009632836,"Atka_amj_sst"
2015,"tanaga",4.91166962070188,0.719117882519011,"Atka_amj_sst"
2016,"attu",4.76265757827079,1.58458036975479,"Atka_amj_sst"
2016,"seguam",5.52780100334448,0.77220207707591,"Atka_amj_sst"
2016,"tanaga",5.49684083658277,0.819026381463758,"Atka_amj_sst"
2017,"attu",4.83322465270578,0.94660196733117,"Atka_amj_sst"
2017,"seguam",4.92293119923555,0.67674010329506,"Atka_amj_sst"
2017,"tanaga",4.89369656150301,0.558784845440777,"Atka_amj_sst"
2018,"attu",4.41042919344806,0.936618217559106,"Atka_amj_sst"
2018,"seguam",4.69232083134257,0.581016764797395,"Atka_amj_sst"
2018,"tanaga",4.77552144629564,0.540037155882432,"Atka_amj_sst"
2019,"attu",4.68927171884719,1.12128363156201,"Atka_amj_sst"
2019,"seguam",5.20884495938844,0.631055032496073,"Atka_amj_sst"
2019,"tanaga",5.25480467919178,0.817349229068155,"Atka_amj_sst"
2020,"attu",4.68320184532449,0.969799175728033,"Atka_amj_sst"
2020,"seguam",4.68094959388438,0.589320513903587,"Atka_amj_sst"
2020,"tanaga",4.71253385324353,0.606040041625698,"Atka_amj_sst"
2021,"attu",4.6913886585113,1.18304950542287,"Atka_amj_sst"
2021,"seguam",4.63123745819398,0.767807756951299,"Atka_amj_sst"
2021,"tanaga",4.71674299893655,0.730375361607764,"Atka_amj_sst"
2022,"attu",4.5522579307485,0.932751489170241,"Atka_amj_sst"
2022,"seguam",4.6696237458194,0.689367542739949,"Atka_amj_sst"
2022,"tanaga",4.79375753278979,0.786263666843163,"Atka_amj_sst"
2023,"attu",4.47910636533278,1.14581721108387,"Atka_amj_sst"
2023,"seguam",4.56082417582418,0.675419381364166,"Atka_amj_sst"
2023,"tanaga",4.57305352711804,0.624195544935469,"Atka_amj_sst"
2024,"attu",4.09099315778561,1.00671181744364,"Atka_amj_sst"
2024,"seguam",4.18910654562828,0.535282704188704,"Atka_amj_sst"
2024,"tanaga",4.36564835164835,0.564263024327143,"Atka_amj_sst"
